	SRR7685881_control_Rep2	SRR7685880_control_Rep1	SRR7685879_treated_Rep2	SRR7685878_treated_Rep1
0610005C13Rik	0	0	0	0
0610009E02Rik	0	0	108.5	0
0610009L18Rik	0	0	0	0
0610010K14Rik	284.16	250.15	273.53	0
0610030E20Rik	32.83	0	33.32	0
0610031O16Rik	0	0	0	0
0610038B21Rik	0	0	0	0
0610039K10Rik	0	0	0	0
0610040B10Rik	0	0	0	0
0610040F04Rik	0	0	0	0
0610040J01Rik	0	176.66	0	0
0610043K17Rik	0	0	0	0
1110002E22Rik	0	0	0	0
1110002L01Rik	0	0	0	0
1110004F10Rik	0	109.21	0	0
1110006O24Rik	0	0	0	0
1110015O18Rik	0	0	0	0
1110018N20Rik	0	0	0	0
1110019D14Rik	0	0	0	0
1110020A21Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032F04Rik	0	0	0	0
1110038B12Rik	0	75.64	388.05	81.94
1110038F14Rik	0	0	0	0
1110046J04Rik	0	0	0	0
1110059E24Rik	0	0	0	0
1110059G10Rik	0	0	0	0
1110065P20Rik	0	0	0	0
1190005I06Rik	0	0	0	0
1190028D05Rik	0	0	0	0
1300002E11Rik	0	0	0	244.93
1500004A13Rik	0	54.36	21.06	0
1500009L16Rik	0	0	0	113.97
1500011B03Rik	0	0	0	0
1500012K07Rik	0	0	0	0
1500015A07Rik	0	0	0	0
1500015L24Rik	0	0	0	0
1500026H17Rik	0	0	0	0
1500035N22Rik	0	0	0	0
1600002D24Rik	0	0	0	0
1600010M07Rik	0	0	0	0
1600012H06Rik	0	0	0	0
1600012P17Rik	0	0	0	0
1600014C10Rik	0	0	0	0
1600014C23Rik	0	0	0	0
1600019K03Rik	0	0	0	0
1600020E01Rik	0	344.54	0	69.07
1600023N17Rik	0	0	0	0
1600025M17Rik	0	249.1	0	0
1600027J07Rik	0	0	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	0	0	0	0
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G01Rik	0	0	0	0
1700001G11Rik	0	0	0	0
1700001G17Rik	0	0	0	0
1700001J03Rik	0	0	0	0
1700001J04Rik	0	0	0	0
1700001K19Rik	0	0	0	0
1700001K23Rik	0	0	0	0
1700001O22Rik	0	0	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	0	0	0	0
1700003E16Rik	0	0	0	0
1700003E24Rik	0	0	0	0
1700003F12Rik	0	0	0	0
1700003G18Rik	0	0	0	0
1700003H04Rik	0	0	0	0
1700003I22Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M07Rik	0	0	0	0
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
1700006F04Rik	0	0	0	0
1700006H21Rik	0	0	0	0
1700006J14Rik	0	0	0	0
1700007F19Rik	0	0	0	0
1700007J10Rik	0	0	0	241.23
1700007L15Rik	0	0	0	0
1700007P06Rik	0	0	0	0
1700008C04Rik	0	0	0	0
1700008J07Rik	0	0	0	0
1700008K24Rik	0	0	0	0
1700008O03Rik	0	0	0	0
1700008P02Rik	0	0	0	0
1700009C05Rik	0	0	0	0
1700009J07Rik	0	0	0	0
1700009N14Rik	0	0	0	0
1700010B08Rik	0	0	0	0
1700010D01Rik	0	0	0	0
